Name,Age,Email,Medical_Illness,ID_Card,Phone_Number,Address,Has_Email,Has_ID_Card,Has_Phone_Number,Has_Address,Privacy_Level,Target_Privacy_Level,Date&Time
Zoe Robinson,29.0,-,Hypertension,13914077,683-364-2266,Lake Coleport,1,0,0,0,Low,0,25-12-23 13:04
Alexander Murphy,47.0,-,False Alarm,19595727,777.942.4664x1502,-,0,0,1,0,Medium,1,26-12-23 13:04
Christopher Bishop,34.0,-,-,71833987,-,-,0,1,0,0,High,2,27-12-23 13:04
Alan Bishop,34.0,-,-,71833987,-,-,1,0,0,0,Low,0,28-12-23 13:04
Guerrero,25.0,-,-,71833987,-,-,1,0,0,1,High,2,29-12-23 13:04
,,,,,,,0,1,0,0,High,2,30-12-23 13:04
,,,,,,,0,0,0,0,Low,0,31-12-23 13:04
,,,,,,,0,1,0,0,High,2,01-01-24 13:04
,,,,,,,0,1,0,0,High,2,02-01-24 13:04
,,,,,,,1,0,1,0,Medium,1,03-01-24 13:04
Adil,23.0,@,,3565476,,Karachi,1,1,0,1,High,2,04-01-24 13:04
Hasan,22.0,dfjf,No,45345,56756-92-,Karachi,1,1,1,1,High,2,05-01-24 13:04
Ramish,22.0,@,No,4546354,,K,1,1,0,1,High,2,06-01-24 13:04
,,,,,,,0,0,0,0,Low,0,06-01-24 13:06
,,,,,,,0,0,0,0,Low,0,06-01-24 13:12
,,,,,,,0,0,0,0,Low,0,06-01-24 13:14
,,,,,,,0,0,0,0,Low,0,17-06-24
,,,,,,,0,0,0,0,Low,0,06-01-24 13:25
Ansari,22.0,@,Asthma,,9234325,Islamabad,1,0,1,1,High,2,06-01-24 13:29
Za,21.0,zahir9048,,42101-9363589-1,3313114993,Centrum,1,1,1,1,High,2,06-01-24 15:02
Nadeem,45.0,nk435345@gmail.com,,41345-435-43534,3343451559,Karachi.,1,1,1,1,High,2,06-01-24 15:29
Khan,19.0,khan!@34,Fever,421354-534534-423,,Sindh,1,1,0,1,High,2,06-01-24 15:38
Ramish Masood,12.0,,,42353425,924354646,,0,1,1,0,High,2,06-01-24 15:41
,,,,,,,0,0,0,0,Low,0,06-01-24 15:42
Hasan,12.0,hasan@123,,,583453,,1,0,1,0,Medium,1,06-01-24 17:09
Farhan,21.0,@34,,54645,,,1,1,0,0,High,2,07-01-24 0:57
Zahir,23.0,@7453,none,,,,1,0,0,0,Low,0,07-01-24 1:04
Hareem,19.0,Test@345,,,328432,Sindh,1,0,1,1,High,2,07-01-24 1:07
Ramish,56.0,sfd,,,,K,1,0,0,1,High,2,07-01-24 1:10
R,,5,,,,,1,0,0,0,Low,0,07-01-24 1:10
r,,345g,,,,,1,0,0,0,Low,0,07-01-24 1:11
,,,,,,,0,0,0,0,Low,0,07-01-24 1:29
,,,,,,,0,0,0,0,Low,0,07-01-24 1:29
Adil Aijaz,23.0,adil123@gmail.com,,,32143534543,,1,0,1,0,Medium,1,07-01-24 1:34
Zahir Khan,22.0,zahir9048@gmail.com,Fever,4210193-63-5891,,"Gulshan, Karachi.",1,1,0,1,High,2,07-01-24 1:37
Alina Khurram,23.0,alina123@test.com,Nine,,,,1,0,0,0,Low,0,07-01-24 1:38
Ramish Masood,23.0,ramishmasood123@gmail.com,Headache,,,"Johar, Karachi 75959.",1,0,0,1,High,2,07-01-24 1:40
Khan,30.0,kj9877,No,43534656,,Dummy Address,1,1,0,1,High,2,07-01-2024 03:34 AM
Adil,12.0,gf,none,,,,1,0,0,0,Low,0,09-01-2024 11:16 AM
adil,12.0,fdg,fd,,345,,1,0,1,0,Medium,1,09-01-2024 11:18 AM
,,,,,,,0,0,0,0,Low,0,09-01-2024 11:39 AM
test,9.0,k@,,,,Karachi,1,0,0,1,High,2,15-01-2024 10:48 PM
adil,12.0,1234,,5434546,,K,1,1,0,1,High,2,15-01-2024 10:58 PM
Ramish,26.0,ramishmsdsad@dsfsdf.com,Ab,123213,325324,Ramish,1,1,1,1,High,2,16-01-2024 12:34 PM
ds,sd,ds,4,d,,,1,1,0,0,High,2,16-01-2024 12:47 PM
Zahir,23,@534543,,645657,,,1,1,0,0,High,2,16-01-2024 12:52 PM
ra,22,ramish@gmail.com,,466,475,A-56 FDY,1,1,1,1,High,2,16-01-2024 01:18 PM
Y,,,,,,,0,0,0,0,Low,0,16-01-2024 01:20 PM
,,,,,,,0,0,0,0,Low,0,16-01-2024 01:21 PM
Zahir,12,zahir9048,,,,Karachi,1,0,0,1,High,2,18-02-2024 01:54 PM
Test,23,@tet,Bukhaar,,0324455435,,1,0,1,0,Medium,1,18-02-2024 01:59 PM
Fhd,23,test.com,Paet dard,,8454353,Karachi,1,0,1,1,High,2,18-02-2024 03:07 PM
d,23,@,No,4345345,,,1,1,0,0,High,2,18-02-2024 03:08 PM
,,,,,,,0,0,0,0,Low,0,18-02-2024 03:55 PM
